Route_ID,Route_Name,Action_Taken,New_Route_ID,Old_Wait_Time,New_Wait_Time,Population_Served,Residential_Score,Commercial_Score,Composite_Demand_Score,HV_POI_Count,Time_Saved_Mins,Cumulative_Person_Minutes_Saved_Daily
R0119,AMPHALLA ↔ MAKWAL CAMP MANDAL PHALLIAN,RETAINED_AS_FEEDER,FDR-327,20,15,93667,1638.17,179.26,1817.43,11,5,468335
R0049,AMPHALLA ↔ SAMILPUR,RETAINED_AS_FEEDER,FDR-067,18,15,155906,7800.76,775.54,8576.3,17,3,467718
R0279,JANIPUR ↔ TRIKUTA NAGAR,RETAINED_AS_FEEDER,FDR-025,20,15,93354,9034.55,943.58,9978.13,12,5,466770
R0001,AIRPORT RANIBAGH LALYAL ↔ JEWEL AKHNOOR ROAD,RETAINED_AS_FEEDER,FDR-297,18,15,154010,2895.8,56.41,2952.21,3,3,462030
R0379,JANIPUR COLONY ↔ CHATTA,RETAINED_AS_FEEDER,FDR-180,20,15,91793,5506.81,374.95,5881.76,7,5,458965
R0151,BAHU FORT ↔ BANTALAB OLD MOHALLA,RETAINED_AS_FEEDER,FDR-080,20,15,91307,7603.21,728.62,8331.83,11,5,456535
R0493,MAHESHPURA ↔ KARLOOP FLOORA,RETAINED_AS_FEEDER,FDR-232,21,15,74486,4999.4,67.12,5066.52,1,6,446916
R0500,MAHESH PURA ↔ MARH KARLOOP,RETAINED_AS_FEEDER,FDR-233,21,15,74486,4999.4,67.12,5066.52,1,6,446916
R0263,JANIPUR ↔ CHATHA,RETAINED_AS_FEEDER,FDR-138,19,15,111247,6278.4,409.17,6687.57,8,4,444988
R0251,JANIPUR ↔ TRIKUTA NAGAR,RETAINED_AS_FEEDER,FDR-026,20,15,88527,8603.21,1239.07,9842.28,15,5,442635
R0103,AMPHALLA ↔ BANTALAB BAJWAN,RETAINED_AS_FEEDER,FDR-045,23,15,55144,8243.98,897.0,9140.98,6,8,441152
R0552,NARWAL ↔ LALYAL,RETAINED_AS_FEEDER,FDR-292,23,15,53861,3204.1,59.49,3263.59,1,8,430888
R0321,JANIPUR ↔ KUNJWANI B C ROAD,RETAINED_AS_FEEDER,FDR-054,18,15,139760,8189.38,659.21,8848.59,12,3,419280
R0341,JANIPUR ↔ MISHRIWALA,RETAINED_AS_FEEDER,FDR-113,18,15,136867,7001.59,358.09,7359.68,7,3,410601
R0319,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-147,18,15,135724,5925.78,458.44,6384.22,12,3,407172
R0428,JANIPUR TO ↔ MAKWAL,RETAINED_AS_FEEDER,FDR-334,21,15,67590,1580.87,122.79,1703.66,6,6,405540
R0413,JANIPUR GRID STATION ↔ MAKWAL,RETAINED_AS_FEEDER,FDR-333,21,15,67590,1580.87,122.79,1703.66,6,6,405540
R0073,AMPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-051,22,15,57675,8512.92,516.61,9029.53,5,7,403725
R0612,PALOURA ↔ HALKA MARH,RETAINED_AS_FEEDER,FDR-282,24,15,44394,3663.17,82.52,3745.69,1,9,399546
R0186,BANTALAB ↔ SMAILPUR,RETAINED_AS_FEEDER,FDR-073,17,15,199509,7776.31,604.15,8380.46,17,2,399018
R0190,BAN TALAB ↔ SMAILPUR,RETAINED_AS_FEEDER,FDR-075,17,15,199509,7776.31,604.15,8380.46,17,2,399018
R0187,BANTALAB ↔ SMAILPUR,RETAINED_AS_FEEDER,FDR-074,17,15,199509,7776.31,604.15,8380.46,17,2,399018
R0233,JAMMU BUS STAND ↔ MATHWAR,RETAINED_AS_FEEDER,FDR-336,20,15,78076,1614.17,62.02,1676.19,6,5,390380
R0728,PATTA BOHRI ↔ LAHORI CHAK,RETAINED_AS_FEEDER,FDR-294,25,15,38920,3229.34,0.0,3229.34,0,10,389200
R0264,JANIPUR ↔ CHANNI HIMMAT,RETAINED_AS_FEEDER,FDR-068,19,15,96937,7863.79,709.82,8573.61,11,4,387748
R0071,AMPHALLA ↔ BOHRI,RETAINED_AS_FEEDER,FDR-010,22,15,55285,9783.22,1238.72,11021.94,7,7,386995
R0053,AMPHALLA ↔ TRIKUTA NAGAR,RETAINED_AS_FEEDER,FDR-012,20,15,76855,9286.49,1540.6,10827.09,15,5,384275
R0050,AMPHALLA ↔ BARUIE KARWAL,RETAINED_AS_FEEDER,FDR-281,21,15,62659,3313.54,436.28,3749.82,9,6,375954
R0608,PALOURA ↔ JASWAN,RETAINED_AS_FEEDER,FDR-295,23,15,46818,2970.5,63.45,3033.95,1,8,374544
R0397,JANIPUR COLONY ↔ SIMBLE CAMP,RETAINED_AS_FEEDER,FDR-301,21,15,60713,2707.14,89.18,2796.32,2,6,364278
R0776,SATWARI ↔ KARWAL,RETAINED_AS_FEEDER,FDR-355,33,15,20149,766.59,0.0,766.59,0,18,362682
R0209,BSF PALOURA ↔ MARH HALQA,RETAINED_AS_FEEDER,FDR-283,23,15,45137,3601.16,79.78,3680.94,1,8,361096
R0399,JANIPUR COLONY ↔ SMAILPUR,RETAINED_AS_FEEDER,FDR-081,17,15,178151,7736.28,586.24,8322.52,15,2,356302
R0488,MAHESHPURA ↔ SUNJWAN,RETAINED_AS_FEEDER,FDR-135,20,15,71025,6502.93,251.79,6754.72,5,5,355125
R0568,NARWAL ↔ GASHI LADORE,RETAINED_AS_FEEDER,FDR-157,18,15,118310,6197.81,91.68,6289.49,4,3,354930
R0206,B S F CAMPUS PALOURA ↔ KARLOOP,RETAINED_AS_FEEDER,FDR-289,23,15,44078,3513.03,0.0,3513.03,0,8,352624
R0060,AMPHALLA ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-163,18,15,116620,5579.1,645.84,6224.94,15,3,349860
R0059,AMPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-107,21,15,57360,6986.6,426.31,7412.91,5,6,344160
R0599,PALOURA ↔ SMAILPUR SAJADPUR MARH,RETAINED_AS_FEEDER,FDR-091,17,15,171597,7551.02,374.04,7925.06,10,2,343194
R0725,PANTIRATHI ↔ JAGTI MIGRANT CAMP,RETAINED_AS_FEEDER,FDR-332,30,15,22759,1686.48,18.53,1705.01,1,15,341385
R0466,MAHESHPURA ↔ MAKWAL CAMP,RETAINED_AS_FEEDER,FDR-339,19,15,82014,1469.21,58.22,1527.43,4,4,328056
R0656,PANJTIRTHI ↔ TALAB TILLO,RETAINED_AS_FEEDER,FDR-097,20,15,63636,6898.21,867.21,7765.42,8,5,318180
R0014,AMBPHALLA ↔ BADHAI KARWAL,RETAINED_AS_FEEDER,FDR-279,20,15,62314,3337.12,441.81,3778.93,9,5,311570
R0067,AMPHALLA ↔ BARUIE KARWAL,RETAINED_AS_FEEDER,FDR-280,20,15,62314,3337.12,441.81,3778.93,9,5,311570
R0566,NARWAL ↔ GAJANSOO DEOSA NAPU,RETAINED_AS_FEEDER,FDR-249,18,15,103817,4510.84,119.49,4630.33,5,3,311451
R0760,SATWARI ↔ PHALLA MANDAL,RETAINED_AS_FEEDER,FDR-335,40,15,12335,1684.42,0.0,1684.42,0,25,308375
R0157,BAKSHI NAGAR ↔ HIRA CHAK GADLA,RETAINED_AS_FEEDER,FDR-231,18,15,102243,5031.15,49.21,5080.36,1,3,306729
R0009,AMBPHALLA ↔ BIRPUR,RETAINED_AS_FEEDER,FDR-129,18,15,102222,6137.25,765.49,6902.74,15,3,306666
R0544,NARWAL ↔ HALQA MARH CHAFFER CHAK,RETAINED_AS_FEEDER,FDR-214,18,15,100840,5339.97,198.58,5538.55,6,3,302520
R0366,JANIPUR ↔ MARJALI,RETAINED_AS_FEEDER,FDR-165,17,15,148251,5939.54,280.45,6219.99,7,2,296502
R0183,BAKSHI NAGAR PULLI NEAR JIC ↔ LALYAL,RETAINED_AS_FEEDER,FDR-293,21,15,47339,3152.57,83.24,3235.81,2,6,284034
R0398,JANIPUR COLONY ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-160,17,15,138554,5786.34,480.27,6266.61,13,2,277108
R0719,PANJTRITHI ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-178,21,15,46169,5705.51,216.26,5921.77,4,6,277014
R0644,PANJTHIRTHI ↔ JAGTI,RETAINED_AS_FEEDER,FDR-352,32,15,16108,1092.22,16.95,1109.17,1,17,273836
R0181,BAKSHI NAGAR PULLI JIC ↔ HALKA MARH,RETAINED_AS_FEEDER,FDR-306,17,15,135321,2567.47,18.97,2586.44,1,2,270642
R0558,NARWAL ↔ KUNJWANI,RETAINED_AS_FEEDER,FDR-031,19,15,66918,9055.21,541.27,9596.48,4,4,267672
R0202,BIKRAM CHOWK WARE HOUSE BRIDGE ↔ RAIPUR,RETAINED_AS_FEEDER,FDR-305,31,15,16266,2629.91,40.42,2670.33,1,16,260256
R0600,PALOURA ↔ CHATHA GURJAN BLOCK MARH,RETAINED_AS_FEEDER,FDR-063,18,15,84281,8342.18,346.43,8688.61,5,3,252843
R0369,JANIPUR ↔ KHAIRI REHAL,RETAINED_AS_FEEDER,FDR-309,20,15,50535,2236.85,265.58,2502.43,6,5,252675
R0311,JANIPUR ↔ KHAIRI REHAL,RETAINED_AS_FEEDER,FDR-308,20,15,50535,2236.85,265.58,2502.43,6,5,252675
R0754,SATWARI ↔ RAMBAGH KULLIAN,RETAINED_AS_FEEDER,FDR-331,36,15,11886,1752.32,0.0,1752.32,0,21,249606
R0663,PANJTIRTHI ↔ TALAB TILLO BOHRI GOLE PULLI,RETAINED_AS_FEEDER,FDR-040,21,15,41567,9204.38,0.0,9204.38,0,6,249402
R0665,PANJTIRTHI ↔ GOLE PULLI TALAB TILLO BOHRI,RETAINED_AS_FEEDER,FDR-041,21,15,41567,9204.38,0.0,9204.38,0,6,249402
R0203,BIKRAM CHOWK WARE HOUSE BRIDGE ↔ RAIPUR,RETAINED_AS_FEEDER,FDR-312,27,15,20702,2302.27,27.8,2330.07,1,12,248424
R0759,SATWARI ↔ CHANNI  THALWAL,RETAINED_AS_FEEDER,FDR-351,28,15,18906,1202.67,0.0,1202.67,0,13,245778
R0674,PANJTIRTHI ↔ CHHIBA BAMYAL,RETAINED_AS_FEEDER,FDR-356,28,15,18731,722.28,9.64,731.92,1,13,243503
R0491,MAHESHPURA ↔ JHIRI KANA CHAK,RETAINED_AS_FEEDER,FDR-189,17,15,120308,5636.88,93.71,5730.59,2,2,240616
R0481,MAHESHPURA ↔ MARJALI,RETAINED_AS_FEEDER,FDR-190,17,15,119946,5636.3,93.98,5730.28,2,2,239892
R0779,SATWARI ↔ MAKWAL,RETAINED_AS_FEEDER,FDR-348,19,15,59843,1259.64,42.1,1301.74,2,4,239372
R0605,PALOURA ↔ CHIRI KANA CHAK,RETAINED_AS_FEEDER,FDR-256,18,15,78063,4507.1,0.0,4507.1,0,3,234189
R0459,KUNJWANI ↔ NARWAL,RETAINED_AS_FEEDER,FDR-093,18,15,77866,7510.22,385.8,7896.02,4,3,233598
R0543,NARWAL ↔ HIRACHAK GARDLA,RETAINED_AS_FEEDER,FDR-005,22,15,32994,3556.54,107.79,3664.33,1,7,230958
R0529,NAGROTA ↔ BAMYAL,RETAINED_AS_FEEDER,FDR-357,35,15,10911,560.08,0.0,560.08,0,20,218220
R0029,AMPHALLA ↔ KATTAL BATAL,MERGED_INTO_TRUNK,TRK-002,11,5,34791,2329.03,150.62,2479.65,3,6,208746
R0109,AMPHALLA ↔ PATTI,RETAINED_AS_FEEDER,FDR-290,17,15,103523,3146.88,341.98,3488.86,12,2,207046
R0577,NARWAL MANDI ↔ MAKWAL,RETAINED_AS_FEEDER,FDR-353,19,15,49700,1050.94,42.29,1093.23,2,4,198800
R0207,B S F PALOURA ↔ PATNYAL,RETAINED_AS_FEEDER,FDR-257,20,15,39530,4474.25,0.0,4474.25,0,5,197650
R0614,PALOURA ↔ AKALPUR PATNYAL,RETAINED_AS_FEEDER,FDR-258,20,15,39530,4474.25,0.0,4474.25,0,5,197650
R0362,JANIPUR ↔ BADYAL BRAHMNA VIA KULLIAN JASSORE,RETAINED_AS_FEEDER,FDR-018,20,15,38938,8990.53,1154.47,10145.0,5,5,194690
R0077,AMPHALLA ↔ CHOWADI BIRPUR,RETAINED_AS_FEEDER,FDR-144,17,15,97007,6139.29,411.37,6550.66,8,2,194014
R0781,SATWARI ↔ HAKKAL,RETAINED_AS_FEEDER,FDR-310,24,15,21212,2497.0,0.0,2497.0,0,9,190908
R0225,INDIRA CHOWK ↔ JAGTI MIGRANT CAMP,RETAINED_AS_FEEDER,FDR-274,18,15,61720,3518.01,399.0,3917.01,7,3,185160
R0139,BAHU FORT ↔ BANTALAB OLD MOHALLA,RETAINED_AS_FEEDER,FDR-071,17,15,91818,7716.45,735.36,8451.81,11,2,183636
R0635,PANJTHIRTHI ↔ TALABTILLO,RETAINED_AS_FEEDER,FDR-055,19,15,45124,8802.97,0.0,8802.97,0,4,180496
R0507,MAHESHPURA CHOWK ↔ MAKWAL,RETAINED_AS_FEEDER,FDR-349,19,15,41853,1060.91,183.78,1244.69,8,4,167412
R0679,PANJTIRTHI ↔ JAGTI CAMP,RETAINED_AS_FEEDER,FDR-318,20,15,32272,1962.42,76.01,2038.43,2,5,161360
R0069,AMPHALLA ↔ TRIKUTA NAGAR,RETAINED_AS_FEEDER,FDR-013,17,15,76568,9348.96,1434.68,10783.64,14,2,153136
R0671,PANJTIRTHI ↔ KHANA CHARGAL,RETAINED_AS_FEEDER,FDR-069,16,15,152309,8086.92,451.31,8538.23,10,1,152309
R0022,AMPHALLA ↔ KHIYARIAN CAMP,RETAINED_AS_FEEDER,FDR-058,17,15,76023,7878.03,829.02,8707.05,8,2,152046
R0150,BAHU FORT ↔ GHAROTA,RETAINED_AS_FEEDER,FDR-227,16,15,150783,4977.32,255.83,5233.15,10,1,150783
R0756,SATWARI ↔ RAYA SUCHANI,RETAINED_AS_FEEDER,FDR-174,16,15,147991,5715.7,328.29,6043.99,10,1,147991
R0783,SATWARI ↔ KARPALPUR,RETAINED_AS_FEEDER,FDR-340,26,15,12879,1483.24,0.0,1483.24,0,11,141669
R0409,JANIPUR COLONY ↔ BAHU FORT,RETAINED_AS_FEEDER,FDR-077,17,15,70557,7631.91,730.12,8362.03,9,2,141114
R0396,JANIPUR COLONY ↔ BAHU FORT MAHA MAYA,RETAINED_AS_FEEDER,FDR-076,17,15,70557,7631.91,730.12,8362.03,9,2,141114
R0532,NAGROTA ↔ JAGTI KERLI,RETAINED_AS_FEEDER,FDR-343,32,15,7973,1460.79,0.0,1460.79,0,17,135541
R0538,NAGROTA ↔ JAGTI JARI,RETAINED_AS_FEEDER,FDR-345,32,15,7973,1460.79,0.0,1460.79,0,17,135541
R0533,NAGROTA ↔ JAGTI MIGRANT CAMP,RETAINED_AS_FEEDER,FDR-344,32,15,7973,1460.79,0.0,1460.79,0,17,135541
R0268,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-166,16,15,133232,5722.04,493.9,6215.94,13,1,133232
R0561,NARWAL ↔ MISHRIWALA SHAMACHAK,RETAINED_AS_FEEDER,FDR-143,16,15,123062,6486.51,92.24,6578.75,4,1,123062
R0784,SATWARI ↔ HAKHAL,RETAINED_AS_FEEDER,FDR-278,17,15,61331,3663.96,149.35,3813.31,4,2,122662
R0502,MAHESHPURA ↔ RAJPURA SUA NO 1,RETAINED_AS_FEEDER,FDR-086,21,15,20239,6491.02,1683.77,8174.79,6,6,121434
R0579,NARWAL PAIN ↔ HAKKAL PLATTA,RETAINED_AS_FEEDER,FDR-219,18,15,40457,5256.2,129.92,5386.12,1,3,121371
R0580,NARWAL PAIN ↔ HAKKAL PLATTA,RETAINED_AS_FEEDER,FDR-220,18,15,40457,5256.2,129.92,5386.12,1,3,121371
R0757,SATWARI ↔ RAIPUR KHARI,RETAINED_AS_FEEDER,FDR-317,26,15,11008,2052.2,0.0,2052.2,0,11,121088
R0082,AMPHALLA ↔ MISHRIWALA,RETAINED_AS_FEEDER,FDR-110,16,15,119444,6862.63,517.09,7379.72,9,1,119444
R0037,AMPHALLA ↔ MISHRIWALA,RETAINED_AS_FEEDER,FDR-109,16,15,119444,6862.63,517.09,7379.72,9,1,119444
R0717,PANJTRITHI ↔ BAHUFORT,RETAINED_AS_FEEDER,FDR-194,19,15,28939,5556.64,144.01,5700.65,3,4,115756
R0035,AMPHALLA ↔ TALAB TILLO BOHRI,RETAINED_AS_FEEDER,FDR-014,17,15,57801,9409.25,1302.3,10711.55,8,2,115602
R0626,PANJTHIRTHI ↔ NH GREATER KAILASH,RETAINED_AS_FEEDER,FDR-048,16,15,115565,8776.87,265.82,9042.69,5,1,115565
R0472,MAHESHPURA ↔ HIRA CHAK,RETAINED_AS_FEEDER,FDR-207,16,15,114129,5488.03,96.17,5584.2,2,1,114129
R0482,MAHESHPURA ↔ HIRA CHAK GAIDLA,RETAINED_AS_FEEDER,FDR-208,16,15,114129,5488.03,96.17,5584.2,2,1,114129
R0290,JANIPUR ↔ MUTHI MISHRI WALA,RETAINED_AS_FEEDER,FDR-027,16,15,98904,9168.81,648.93,9817.74,7,1,98904
R0773,SATWARI ↔ SAMPURAN PUR PHALAIN MANDAL ROAD,RETAINED_AS_FEEDER,FDR-319,23,15,11132,2036.59,0.0,2036.59,0,8,89056
R0737,RAIPUR JAGGIR ↔ PALOURA,RETAINED_AS_FEEDER,FDR-225,17,15,43879,5334.18,0.0,5334.18,0,2,87758
R0683,PANJTIRTHI ↔ CHALNI,RETAINED_AS_FEEDER,FDR-350,19,15,21659,1218.44,14.06,1232.5,1,4,86636
R0702,PANJTIRTHI ↔ GOLE PULLI TALAB TILLO BOHRI,RETAINED_AS_FEEDER,FDR-024,17,15,42934,8591.96,1400.84,9992.8,7,2,85868
R0629,PANJTHIRTHI ↔ TALABTILLO,RETAINED_AS_FEEDER,FDR-022,17,15,42934,8591.96,1400.84,9992.8,7,2,85868
R0630,PANJTHIRTHI ↔ TALABTILLO,RETAINED_AS_FEEDER,FDR-023,17,15,42934,8591.96,1400.84,9992.8,7,2,85868
R0310,JANIPUR ↔ CHATHA,RETAINED_AS_FEEDER,FDR-033,16,15,84435,8664.44,872.24,9536.68,10,1,84435
R0534,NAGROTA ↔ KARLI PANJGHARIAN,RETAINED_AS_FEEDER,FDR-300,21,15,13777,2724.88,197.78,2922.66,1,6,82662
R0236,JAMMU RAILWAY STATION ↔ KATRA,RETAINED_AS_FEEDER,FDR-326,16,15,78930,1755.76,111.22,1866.98,8,1,78930
R0235,JAMMU RAILWAY STATION ↔ KATRA,RETAINED_AS_FEEDER,FDR-325,16,15,78930,1755.76,111.22,1866.98,8,1,78930
R0234,JAMMU RAILWAY STATION ↔ KATRA,RETAINED_AS_FEEDER,FDR-324,16,15,78930,1755.76,111.22,1866.98,8,1,78930
R0714,PANJTRITHI ↔ JAGTI,RETAINED_AS_FEEDER,FDR-347,20,15,15705,1318.64,20.99,1339.63,1,5,78525
R0688,PANJTIRTHI ↔ JAGTI CAMP,RETAINED_AS_FEEDER,FDR-346,20,15,15705,1318.64,20.99,1339.63,1,5,78525
R0167,BAKSHI NAGAR PULLI ↔ GAJANSOO MARH,RETAINED_AS_FEEDER,FDR-009,17,15,35909,10937.86,304.6,11242.46,1,2,71818
R0762,SATWARI ↔ LALYAL,RETAINED_AS_FEEDER,FDR-338,21,15,11853,1556.94,0.0,1556.94,0,6,71118
R0729,PATTA BOHRI ↔ GHO MANHASAN SANDWAN,RETAINED_AS_FEEDER,FDR-276,17,15,33164,3841.98,0.0,3841.98,0,2,66328
R0237,JANIPUR ↔ BAHUFORT,RETAINED_AS_FEEDER,FDR-065,16,15,64935,7800.94,810.91,8611.85,9,1,64935
R0440,KHANDWAL CHATHA PIND ↔ SATWARI,RETAINED_AS_FEEDER,FDR-314,21,15,10379,2297.26,0.0,2297.26,0,6,62274
R0755,SATWARI ↔ GANDU CHAK,RETAINED_AS_FEEDER,FDR-337,19,15,13739,1668.37,0.0,1668.37,0,4,54956
R0110,AMPHALLA ↔ RAJPURA SUA NO 1,RETAINED_AS_FEEDER,FDR-029,17,15,25837,7537.05,2114.94,9651.99,8,2,51674
R0205,B S F CAMPUS ↔ GHO MANHASA,RETAINED_AS_FEEDER,FDR-296,17,15,25293,2981.61,0.0,2981.61,0,2,50586
R0733,PRADE GROUND ↔ TOPH SHERKHANIA,RETAINED_AS_FEEDER,FDR-020,16,15,42011,8974.79,1121.56,10096.35,6,1,42011
R0732,PRADE GROUND ↔ TOPH SHERKHANIA,RETAINED_AS_FEEDER,FDR-021,16,15,42011,8972.87,1121.32,10094.19,6,1,42011
R0219,GANESHU CHACK ↔ M H HOSPITAL SATWARI CANT,RETAINED_AS_FEEDER,FDR-313,19,15,9584,2312.74,0.0,2312.74,0,4,38336
R0789,SATWARI ↔ KIRPALPUR SARDARA CHAK,RETAINED_AS_FEEDER,FDR-311,17,15,10634,2485.16,0.0,2485.16,0,2,21268
R0652,PANJTHIRTHI KOOPER ↔ BAJALTA,RETAINED_AS_FEEDER,FDR-330,16,15,18031,1749.05,24.25,1773.3,1,1,18031
R0011,AMBPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-034,14,15,62884,8241.68,1277.85,9519.53,12,0,0
R0015,AMBPHALLA ↔ PATTI,RETAINED_AS_FEEDER,FDR-259,13,15,117607,4009.65,460.26,4469.91,15,0,0
R0019,AMPHALLA ↔ BADHORI,RETAINED_AS_FEEDER,FDR-211,5,15,191294,5150.34,417.32,5567.66,17,0,0
R0007,AMBPHALLA ↔ MUTHI CAMP PHASE II,RETAINED_AS_FEEDER,FDR-016,13,15,80779,9345.09,1041.18,10386.27,9,0,0
R0010,AMBPHALLA ↔ RAYA SUCHAINI,RETAINED_AS_FEEDER,FDR-112,15,15,167674,6711.79,660.48,7372.27,18,0,0
R0271,JANIPUR ↔ BAHUFORT,RETAINED_AS_FEEDER,FDR-064,13,15,65629,7863.53,808.77,8672.3,9,0,0
R0325,JANIPUR ↔ PATTI,RETAINED_AS_FEEDER,FDR-246,13,15,134069,4291.99,368.15,4660.14,13,0,0
R0334,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-154,15,15,134501,5836.2,499.0,6335.2,13,0,0
R0768,SATWARI ↔ HAKKAL,RETAINED_AS_FEEDER,FDR-266,12,15,10198,4207.1,0.0,4207.1,0,0,0
R0027,AMPHALLA ↔ MUTHI CAMP PHASE 2ND,RETAINED_AS_FEEDER,FDR-017,13,15,80779,9345.09,1041.18,10386.27,9,0,0
R0024,AMPHALLA ↔ MANDIA MANKA KHOUR,RETAINED_AS_FEEDER,FDR-260,9,15,92126,3992.63,444.22,4436.85,11,0,0
R0002,AMBHALLA ↔ MISHRIWALA,RETAINED_AS_FEEDER,FDR-108,5,15,119444,6862.63,517.09,7379.72,9,0,0
R0785,SATWARI ↔ MANDAL PHALIAN CHANNI,RETAINED_AS_FEEDER,FDR-210,15,15,161798,5324.93,246.83,5571.76,9,0,0
R0013,AMBPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-106,5,15,57360,6986.6,426.31,7412.91,5,0,0
R0473,MAHESHPURA ↔ RATHUA GHOU,RETAINED_AS_FEEDER,FDR-252,13,15,116565,4511.2,77.4,4588.6,2,0,0
R0238,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-153,15,15,134501,5836.2,499.0,6335.2,13,0,0
R0248,JANIPUR ↔ CHATHA,RETAINED_AS_FEEDER,FDR-028,13,15,83656,8799.41,894.08,9693.49,10,0,0
R0541,NARWAL ↔ HIRA CHACK GADLA,RETAINED_AS_FEEDER,FDR-215,15,15,128694,5384.69,73.22,5457.91,4,0,0
R0508,MAHESHPURA CHOWK ↔ MISHRIWALA,RETAINED_AS_FEEDER,FDR-127,15,15,111267,6577.62,413.81,6991.43,7,0,0
R0200,BIKRAM CHOWK ↔ PURMANDAL,RETAINED_AS_FEEDER,FDR-004,8,15,82707,2712.42,131.18,2843.6,4,0,0
R0196,BAWA TALAB ↔ HALQA MARH,RETAINED_AS_FEEDER,FDR-329,13,15,28766,1775.13,0.0,1775.13,0,0,0
R0113,AMPHALLA ↔ KIRPIND,RETAINED_AS_FEEDER,FDR-229,5,15,101713,4656.76,515.06,5171.82,12,0,0
R0112,AMPHALLA ↔ KERAN,RETAINED_AS_FEEDER,FDR-096,12,15,112810,7226.78,576.55,7803.33,9,0,0
R0105,AMPHALLA ↔ MAKWAL,RETAINED_AS_FEEDER,FDR-354,8,15,32469,851.62,59.01,910.63,3,0,0
R0092,AMPHALLA ↔ GAJANSOO KARLOOP,RETAINED_AS_FEEDER,FDR-193,11,15,85736,5216.35,486.74,5703.09,8,0,0
R0091,AMPHALLA ↔ KANACHAK LALYAL,RETAINED_AS_FEEDER,FDR-186,7,15,132673,5396.5,366.08,5762.58,9,0,0
R0141,BAHU FORT ↔ JANIPUR COLONY,RETAINED_AS_FEEDER,FDR-085,5,15,71074,7474.39,709.85,8184.24,9,0,0
R0192,BANTALAB NARTHANI ↔ BAJWAN TRIKUTA COLLEGE,RETAINED_AS_FEEDER,FDR-003,12,15,44950,5601.25,0.0,5601.25,0,0,0
R0548,NARWAL ↔ BATEHRA,RETAINED_AS_FEEDER,FDR-200,14,15,136908,5576.02,71.27,5647.29,4,0,0
R0169,BAKSHI NAGAR PULLI ↔ MISHRIWALA,RETAINED_AS_FEEDER,FDR-152,15,15,96617,6276.28,64.96,6341.24,1,0,0
R0475,MAHESHPURA ↔ GAJANSOO MARH,RETAINED_AS_FEEDER,FDR-011,13,15,41103,10629.17,258.6,10887.77,1,0,0
R0628,PANJTHIRTHI ↔ MUTHI BARNAI BANTALAB,RETAINED_AS_FEEDER,FDR-082,14,15,59778,7538.21,756.62,8294.83,6,0,0
R0646,PANJTHIRTHI ↔ SATWARI GANGYAL,RETAINED_AS_FEEDER,FDR-134,15,15,53490,6671.24,93.54,6764.78,3,0,0
R0080,AMPHALLA ↔ KALYANPUR,RETAINED_AS_FEEDER,FDR-146,5,15,128645,6061.01,424.03,6485.04,9,0,0
R0650,PANJTHIRTHI(CIRCULAR RD NAKA) ↔ RANGOORA,RETAINED_AS_FEEDER,FDR-272,13,15,37819,3891.24,77.17,3968.41,3,0,0
R0088,AMPHALLA ↔ KANA CHAK,RETAINED_AS_FEEDER,FDR-172,5,15,131257,5736.76,393.36,6130.12,9,0,0
R0086,AMPHALLA ↔ GHO MANHASAN,RETAINED_AS_FEEDER,FDR-315,13,15,99554,2103.85,169.06,2272.91,8,0,0
R0711,PANJTIRTHI ↔ KANNA CHHARGAL,RETAINED_AS_FEEDER,FDR-342,14,15,22040,1457.09,16.53,1473.62,1,0,0
R0707,PANJTIRTHI ↔ KHANNA CHARGAL DHOON,RETAINED_AS_FEEDER,FDR-341,14,15,22040,1457.09,16.53,1473.62,1,0,0
R0690,PANJTIRTHI ↔ DIGIANA PULLI,RETAINED_AS_FEEDER,FDR-037,15,15,84472,9054.78,401.97,9456.75,6,0,0
R0692,PANJTIRTHI ↔ RAGHOORA,RETAINED_AS_FEEDER,FDR-273,13,15,37819,3891.24,77.17,3968.41,3,0,0
R0689,PANJTIRTHI ↔ TALAB TILLO BOHRI,RETAINED_AS_FEEDER,FDR-006,13,15,63332,7901.68,374.3,8275.98,6,0,0
R0078,AMPHALLA ↔ BADYAL DEHRIAN,RETAINED_AS_FEEDER,FDR-299,10,15,162661,2742.32,185.45,2927.77,11,0,0
R0720,PANJTRITHI ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-047,15,15,68171,7987.23,1142.36,9129.59,12,0,0
R0031,AMPHALLA ↔ GANGYAL,RETAINED_AS_FEEDER,FDR-254,6,15,89565,4367.75,207.26,4575.01,5,0,0
R0042,AMPHALLA ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-248,10,15,117289,4170.28,480.0,4650.28,15,0,0
